# Intensity Error [H,H,0] [-H,H,0] [0,0,L] DeltaE
#  shape: 40x1x1x87
9.751970e-06 1.115871e-05 -8.750000e-01 1.000000e+00 0.000000e+00 1.262500e+01
1.136600e-05 1.266374e-05 -8.750000e-01 1.000000e+00 0.000000e+00 1.337500e+01
3.030447e-05 1.311543e-05 -8.750000e-01 1.000000e+00 0.000000e+00 1.412500e+01
1.418569e-05 1.169819e-05 -8.750000e-01 1.000000e+00 0.000000e+00 1.487500e+01
2.535154e-05 1.351572e-05 -8.750000e-01 1.000000e+00 0.000000e+00 1.562500e+01
-4.213255e-06 1.332419e-05 -8.750000e-01 1.000000e+00 0.000000e+00 1.637500e+01
-1.007427e-05 1.347584e-05 -8.750000e-01 1.000000e+00 0.000000e+00 1.712500e+01
2.870344e-05 1.338993e-05 -8.750000e-01 1.000000e+00 0.000000e+00 1.787500e+01
2.451183e-05 1.207305e-05 -8.750000e-01 1.000000e+00 0.000000e+00 1.862500e+01
2.909518e-05 1.388911e-05 -8.750000e-01 1.000000e+00 0.000000e+00 1.937500e+01
2.152955e-05 1.278066e-05 -8.750000e-01 1.000000e+00 0.000000e+00 2.012500e+01
2.057994e-05 1.466210e-05 -8.750000e-01 1.000000e+00 0.000000e+00 2.087500e+01
1.558769e-05 1.094717e-05 -8.750000e-01 1.000000e+00 0.000000e+00 2.162500e+01
4.244537e-05 1.452847e-05 -8.750000e-01 1.000000e+00 0.000000e+00 2.237500e+01
3.769806e-05 1.303852e-05 -8.750000e-01 1.000000e+00 0.000000e+00 2.312500e+01
4.683180e-05 1.324334e-05 -8.750000e-01 1.000000e+00 0.000000e+00 2.387500e+01
1.843038e-05 1.154167e-05 -8.750000e-01 1.000000e+00 0.000000e+00 2.462500e+01
8.954002e-06 1.011469e-05 -8.750000e-01 1.000000e+00 0.000000e+00 2.537500e+01
2.373272e-05 9.653138e-06 -8.750000e-01 1.000000e+00 0.000000e+00 2.612500e+01
1.671602e-06 1.020543e-05 -8.750000e-01 1.000000e+00 0.000000e+00 2.687500e+01
5.290805e-06 7.404478e-06 -8.750000e-01 1.000000e+00 0.000000e+00 2.762500e+01
3.010815e-05 1.018198e-05 -8.750000e-01 1.000000e+00 0.000000e+00 2.837500e+01
9.914322e-06 7.957059e-06 -8.750000e-01 1.000000e+00 0.000000e+00 2.912500e+01
3.474177e-05 1.181619e-05 -8.750000e-01 1.000000e+00 0.000000e+00 2.987500e+01
2.624438e-05 1.164022e-05 -8.750000e-01 1.000000e+00 0.000000e+00 3.062500e+01
2.174402e-05 1.130813e-05 -8.750000e-01 1.000000e+00 0.000000e+00 3.137500e+01
1.504937e-05 1.003383e-05 -8.750000e-01 1.000000e+00 0.000000e+00 3.212500e+01
1.845367e-05 8.965875e-06 -8.750000e-01 1.000000e+00 0.000000e+00 3.287500e+01
1.833295e-05 1.115698e-05 -8.750000e-01 1.000000e+00 0.000000e+00 3.362500e+01
1.442426e-05 8.061990e-06 -8.750000e-01 1.000000e+00 0.000000e+00 3.437500e+01
1.882890e-05 8.806537e-06 -8.750000e-01 1.000000e+00 0.000000e+00 3.512500e+01
2.072694e-05 9.811024e-06 -8.750000e-01 1.000000e+00 0.000000e+00 3.587500e+01
1.879038e-05 9.077436e-06 -8.750000e-01 1.000000e+00 0.000000e+00 3.662500e+01
-1.647499e-05 5.448018e-06 -8.750000e-01 1.000000e+00 0.000000e+00 3.737500e+01
7.903612e-06 7.167801e-06 -8.750000e-01 1.000000e+00 0.000000e+00 3.812500e+01
1.868114e-05 7.430772e-06 -8.750000e-01 1.000000e+00 0.000000e+00 3.887500e+01
-4.941634e-06 5.231696e-06 -8.750000e-01 1.000000e+00 0.000000e+00 3.962500e+01
1.494299e-05 6.563123e-06 -8.750000e-01 1.000000e+00 0.000000e+00 4.037500e+01
-3.401217e-06 6.369980e-06 -8.750000e-01 1.000000e+00 0.000000e+00 4.112500e+01
1.097228e-05 5.996151e-06 -8.750000e-01 1.000000e+00 0.000000e+00 4.187500e+01
-1.749363e-06 4.377228e-06 -8.750000e-01 1.000000e+00 0.000000e+00 4.262500e+01
4.756260e-07 4.280930e-06 -8.750000e-01 1.000000e+00 0.000000e+00 4.337500e+01
7.434979e-06 5.179249e-06 -8.750000e-01 1.000000e+00 0.000000e+00 4.412500e+01
6.673266e-07 3.184654e-06 -8.750000e-01 1.000000e+00 0.000000e+00 4.487500e+01
-2.757568e-07 2.271927e-06 -8.750000e-01 1.000000e+00 0.000000e+00 4.562500e+01
-6.642069e-06 3.448626e-06 -8.750000e-01 1.000000e+00 0.000000e+00 4.637500e+01
-3.526113e-06 3.078243e-06 -8.750000e-01 1.000000e+00 0.000000e+00 4.712500e+01
-5.888312e-06 2.579160e-06 -8.750000e-01 1.000000e+00 0.000000e+00 4.787500e+01
-7.931674e-06 2.162305e-06 -8.750000e-01 1.000000e+00 0.000000e+00 4.862500e+01
-9.599206e-06 1.811007e-06 -8.750000e-01 1.000000e+00 0.000000e+00 4.937500e+01
-6.584037e-06 1.912073e-06 -8.750000e-01 1.000000e+00 0.000000e+00 5.012500e+01
-1.116068e-05 2.072872e-06 -8.750000e-01 1.000000e+00 0.000000e+00 5.087500e+01
-1.123101e-05 1.877249e-06 -8.750000e-01 1.000000e+00 0.000000e+00 5.162500e+01
-1.087664e-05 1.814553e-06 -8.750000e-01 1.000000e+00 0.000000e+00 5.237500e+01
-9.763876e-06 1.645946e-06 -8.750000e-01 1.000000e+00 0.000000e+00 5.312500e+01
-1.967958e-05 2.011779e-06 -8.750000e-01 1.000000e+00 0.000000e+00 5.387500e+01
-2.357480e-05 1.910149e-06 -8.750000e-01 1.000000e+00 0.000000e+00 5.462500e+01
-1.674420e-05 1.515956e-06 -8.750000e-01 1.000000e+00 0.000000e+00 5.537500e+01
-1.996712e-05 1.660145e-06 -8.750000e-01 1.000000e+00 0.000000e+00 5.612500e+01
-1.709992e-05 1.826135e-06 -8.750000e-01 1.000000e+00 0.000000e+00 5.687500e+01
